Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Isolated Gate driver\Project Outputs for Isolated Gate driver\Pick Place for Isolated_gate_driver.csv

========================================================================================================================
File Design Information:

Date:       04/12/20
Time:       20:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P1","Header 5","TopLayer","HDR1X5","4375.000","3840.000","270","Header, 5-Pin"
"P4","Header 5","TopLayer","HDR1X5","2565.000","3840.000","270","Header, 5-Pin"
"C7","Cap","TopLayer","C0805","3700.000","3950.000","90","Capacitor"
"D1","1N4007","TopLayer","M7_SMA","4035.000","3810.000","360","Default Diode"
"R33","Res3","TopLayer","C1206","3775.000","1395.000","270","Resistor"
"R31","Res3","TopLayer","C1206","3870.000","1395.000","90","Resistor"
"R29","Res3","TopLayer","C1206","2935.000","1295.000","90","Resistor"
"R27","Res3","TopLayer","C1206","2845.000","1615.000","90","Resistor"
"R25","Res3","TopLayer","C1206","2940.000","1840.000","270","Resistor"
"R23","Res3","TopLayer","C1206","3605.000","2015.000","270","Resistor"
"R21","Res3","TopLayer","C1206","3745.000","1590.000","0","Resistor"
"R19","Res3","TopLayer","C1206","2940.000","1615.000","90","Resistor"
"R18","Res3","TopLayer","C1206","3790.000","2495.000","270","Resistor"
"R17","Res3","TopLayer","C1206","3775.000","3595.000","270","Resistor"
"R16","Res3","TopLayer","C1206","3890.000","2495.000","90","Resistor"
"R15","Res3","TopLayer","C1206","3870.000","3595.000","90","Resistor"
"R14","Res3","TopLayer","C1206","2935.000","2420.000","90","Resistor"
"R13","Res3","TopLayer","C1206","2940.000","3520.000","90","Resistor"
"R12","Res3","TopLayer","C1206","2845.000","2715.000","90","Resistor"
"R11","Res3","TopLayer","C1206","2845.000","3815.000","90","Resistor"
"R10","Res3","TopLayer","C1206","2945.000","2945.000","270","Resistor"
"R9","Res3","TopLayer","C1206","2945.000","4040.000","270","Resistor"
"R8","Res3","TopLayer","C1206","3570.000","3095.000","270","Resistor"
"R7","Res3","TopLayer","C1206","3565.000","4210.000","270","Resistor"
"R6","Res3","TopLayer","C1206","3745.000","2710.000","360","Resistor"
"R5","Res3","TopLayer","C1206","3745.000","3810.000","360","Resistor"
"R4","Res3","TopLayer","C1206","2940.000","2715.000","90","Resistor"
"R3","Res3","TopLayer","C1206","2940.000","3815.000","90","Resistor"
"P6","Header 5","TopLayer","HDR1X5","2565.000","1640.000","270","Header, 5-Pin"
"P5","Header 5","TopLayer","HDR1X5","2565.000","2740.000","270","Header, 5-Pin"
"P3","Header 5","TopLayer","HDR1X5","4375.000","1640.000","270","Header, 5-Pin"
"P2","Header 5","TopLayer","HDR1X5","4375.000","2740.000","270","Header, 5-Pin"
"J2","Header 2","TopLayer","HDR1X2","3585.000","4510.000","90","Header, 2-Pin"
"J1","Header 2","TopLayer","HDR1X2","3200.000","4510.000","90","Header, 2-Pin"
"Driver-3","2ED020I12FA","TopLayer","SOP65P1030X265-36_32N-V","3370.000","1605.000","0","Dual IGBT Driver IC"
"Driver-2","2ED020I12FA","TopLayer","SOP65P1030X265-36_32N-V","3370.000","2705.000","0","Dual IGBT Driver IC"
"Driver-1","2ED020I12FA","TopLayer","SOP65P1030X265-36_32N-V","3370.000","3805.000","0","Dual IGBT Driver IC"
"D17","1N5822","TopLayer","SMB","3780.000","1095.000","360","Schottky Diode"
"D15","1N4007","TopLayer","M7_SMA","4105.000","1335.000","270","Default Diode"
"D13","1N5822","TopLayer","SMB","3925.000","1860.000","270","Schottky Diode"
"D11","1N4007","TopLayer","M7_SMA","4035.000","1605.000","360","Default Diode"
"D8","1N5822","TopLayer","SMB","3775.000","2225.000","360","Schottky Diode"
"D7","1N5822","TopLayer","SMB","3795.000","3315.000","360","Schottky Diode"
"D6","1N4007","TopLayer","M7_SMA","4115.000","2435.000","270","Default Diode"
"D5","1N4007","TopLayer","M7_SMA","4110.000","3535.000","270","Default Diode"
"D4","1N5822","TopLayer","SMB","3920.000","2960.000","270","Schottky Diode"
"D3","1N5822","TopLayer","SMB","3920.000","4060.000","270","Schottky Diode"
"D2","1N4007","TopLayer","M7_SMA","4040.000","2705.000","360","Default Diode"
"C27","Cap","TopLayer","C0805","3770.000","1220.000","180","Capacitor"
"C25","Cap","TopLayer","C0805","3680.000","1395.000","90","Capacitor"
"C23","Cap","TopLayer","C0805","3035.000","1295.000","270","Capacitor"
"C21","Cap","TopLayer","C0805","3800.000","1750.000","90","Capacitor"
"C19","Cap","TopLayer","C0805","3705.000","1750.000","90","Capacitor"
"C17","Cap","TopLayer","C0805","3035.000","1615.000","270","Capacitor"
"C16","Cap","TopLayer","C0805","3780.000","2340.000","180","Capacitor"
"C15","Cap","TopLayer","C0805","3785.000","3445.000","180","Capacitor"
"C14","Cap","TopLayer","C0805","3690.000","2495.000","90","Capacitor"
"C13","Cap","TopLayer","C0805","3680.000","3595.000","90","Capacitor"
"C12","Cap","TopLayer","C0805","3035.000","2420.000","270","Capacitor"
"C11","Cap","TopLayer","C0805","3035.000","3520.000","270","Capacitor"
"C10","Cap","TopLayer","C0805","3795.000","2850.000","90","Capacitor"
"C9","Cap","TopLayer","C0805","3795.000","3950.000","90","Capacitor"
"C8","Cap","TopLayer","C0805","3700.000","2850.000","90","Capacitor"
"C6","Cap","TopLayer","C0805","3035.000","2715.000","270","Capacitor"
"C5","Cap","TopLayer","C0805","3035.000","3815.000","270","Capacitor"
